movie,character_name,line_num,line,line_no_punct
American Psycho,Bateman,17,"my name is patrick bateman. i am  twenty-six years old. i live in the american garden  buildings on west eighty-first street, on the eleventh  floor tom cruise lives in the penthouse.",my name is patrick bateman i am twenty six years old i live in the american garden buildings on west eighty first street on the eleventh floor tom cruise lives in the penthouse
American Psycho,Bateman,18,"i believe in taking care of myself, in a  balanced diet, in a rigorous exercise routine. in the  morning, if my face is a little puffy, i'll put on an ice  pack while doing my stomach crunches. i can do a thousand  now.",i believe in taking care of myself in a balanced diet in a rigorous exercise routine in the morning if my face is a little puffy i ll put on an ice pack while doing my stomach crunches i can do a thousand now
American Psycho,Bateman,19,"after i remove the icepack, i use a deep  pore-cleanser lotion. in the shower, i use a  water-activated gel cleanser, then a honey-almond body  scrub, and on the face an exfoliating gel scrub.",after i remove the icepack i use a deep pore cleanser lotion in the shower i use a water activated gel cleanser then a honey almond body scrub and on the face an exfoliating gel scrub
American Psycho,Bateman,20,then i apply an herb mint facial masque which  i leave on for ten minutes while i prepare the rest of my  routine.,then i apply an herb mint facial masque which i leave on for ten minutes while i prepare the rest of my routine
American Psycho,Bateman,21,"i always use an after-shave lotion with little  or no alcohol because alcohol dries your face out and makes  you look older. then moisturizer, then an anti-aging eye  balm, followed by a final moisturizing ""protective"" lotion...",i always use an after shave lotion with little or no alcohol because alcohol dries your face out and makes you look older then moisturizer then an anti aging eye balm followed by a final moisturizing protective lotion
American Psycho,Bateman,22,"there is an idea of a patrick bateman, some  kind of abstraction, hut there is no real me, only an  entity, something illusory, and though i can hide my cold  gaze and you can shake my hand and feel flesh gripping you  and maybe you can even sense our lifestyles are probably  comparable: i simply am not there.",there is an idea of a patrick bateman some kind of abstraction hut there is no real me only an entity something illusory and though i can hide my cold gaze and you can shake my hand and feel flesh gripping you and maybe you can even sense our lifestyles are probably comparable i simply am not there
American Psycho,Bateman,23,"it is hard for me to make sense on any given  level. my self is fabricated, an aberration. my personality  is sketchy and unformed, my heartlessness goes deep and is  persistent.",it is hard for me to make sense on any given level my self is fabricated an aberration my personality is sketchy and unformed my heartlessness goes deep and is persistent
American Psycho,Bateman,24,"my conscience, my pity, my hopes disappeared  a long time ago, if they ever did exist.",my conscience my pity my hopes disappeared a long time ago if they ever did exist
American Psycho,Bateman,25,aerobics class. sorry. any messages?,aerobics class sorry any messages
American Psycho,Bateman,26,i occasionally box with ricky at the harvard club.  anyone else?,i occasionally box with ricky at the harvard club anyone else
American Psycho,Bateman,27,when?,when
American Psycho,Bateman,28,negative. cancel it.,negative cancel it
American Psycho,Bateman,29,just...say...no.,just say no
American Psycho,Bateman,30,"okay, jean. i need reservations for three at camols  at twelve-thirty, and if not there, try crayons. all  right?",okay jean i need reservations for three at camols at twelve thirty and if not there try crayons all right
American Psycho,Bateman,31,oh wait. and i need reservations for two at arcadia at eight  tonight.,oh wait and i need reservations for two at arcadia at eight tonight
American Psycho,Bateman,32,"no, silly. forget it. i'll make them. thanks.",no silly forget it i ll make them thanks
American Psycho,Bateman,33,"no. no. be a doll and just get me a perrier, okay?",no no be a doll and just get me a perrier okay
American Psycho,Bateman,34,is that the ransom file? thanks. don't wear that  outfit again.,is that the ransom file thanks don t wear that outfit again
American Psycho,Bateman,35,"i said ""do not wear that outfit again."" wear a  dress. a skirt or something.",i said do not wear that outfit again wear a dress a skirt or something
American Psycho,Bateman,36,"come on, you're prettier than that.",come on you re prettier than that
American Psycho,Bateman,37,i'm not here. and high heels. i like high heels.,i m not here and high heels i like high heels
American Psycho,Bateman,38,i'm trying to listen to the new george  michael tape but evelyn-my supposed fiancï¿½e-keeps buzzing  in my ear.,i m trying to listen to the new george michael tape but evelyn my supposed fiancï¿½e keeps buzzing in my ear
American Psycho,Bateman,39,do...what.,do what
American Psycho,Bateman,40,evelyn?,evelyn
American Psycho,Bateman,41,is your evian spiked?,is your evian spiked
American Psycho,Bateman,42,no-i can't take the time off work.,no i can t take the time off work
American Psycho,Bateman,43,i don't want to talk about it.,i don t want to talk about it
American Psycho,Bateman,44,because i...want...to...fit...in.,because i want to fit in
American Psycho,Bateman,45,"i'm on the verge of tears by the time we arrive at espace  since i'm positive we won't have a decent table, but we do,  and relief washes over me in an awesome wave.",i m on the verge of tears by the time we arrive at espace since i m positive we won t have a decent table but we do and relief washes over me in an awesome wave
American Psycho,Bateman,46,hi. pat bateman.,hi pat bateman
American Psycho,Bateman,47,let me guess-you live in the east village?,let me guess you live in the east village
American Psycho,Bateman,48,"i am fairly sure that timothy and evelyn  are having an affair. timothy is the only interesting person i know. courtney is almost perfect looking. she s  usually operating on one or more psychiatric drugs. tonight  i believe it's xanax. more disturbing than her drug use,  though, is the fact that she's engaged to luis carruthers,  the biggest dufus in the business.",i am fairly sure that timothy and evelyn are having an affair timothy is the only interesting person i know courtney is almost perfect looking she s usually operating on one or more psychiatric drugs tonight i believe it s xanax more disturbing than her drug use though is the fact that she s engaged to luis carruthers the biggest dufus in the business
American Psycho,Bateman,49,"oh come on. price. there are a lot more important  problems than sri lanka to worry about. sure our foreign  policy is important, but there are more pressing problems  at hand.",oh come on price there are a lot more important problems than sri lanka to worry about sure our foreign policy is important but there are more pressing problems at hand
American Psycho,Bateman,50,"well, we have to end apartheid for one. and slow  down the nuclear arms race, stop terrorism and world  hunger. but we can't ignore our social needs. either we  have to stop people from abusing the welfare system. we  have to provide food and shelter for the homeless and  oppose racial discrimination and promote civil rights while  also promoting equal rights for women but change the  abortion laws to protect the right to life yet still  somehow maintain women's freedom of choice.",well we have to end apartheid for one and slow down the nuclear arms race stop terrorism and world hunger but we can t ignore our social needs either we have to stop people from abusing the welfare system we have to provide food and shelter for the homeless and oppose racial discrimination and promote civil rights while also promoting equal rights for women but change the abortion laws to protect the right to life yet still somehow maintain women s freedom of choice
American Psycho,Bateman,51,"we also have to control the influx of illegal  immigrants. we have to encourage a return to traditional  moral values and curb graphic sex and violence on tv, in  movies, in pop music, everywhere. most importantly we have  to promote general social concern and less materialism in  young people.",we also have to control the influx of illegal immigrants we have to encourage a return to traditional moral values and curb graphic sex and violence on tv in movies in pop music everywhere most importantly we have to promote general social concern and less materialism in young people
American Psycho,Bateman,52,why don t you just go for price?,why don t you just go for price
American Psycho,Bateman,53,he's rich.,he s rich
American Psycho,Bateman,54,he's good-looking.,he s good looking
American Psycho,Bateman,55,he has a great body,he has a great body
American Psycho,Bateman,56,no. i'm not. why should i ?,no i m not why should i
American Psycho,Bateman,57,it's not.,it s not
American Psycho,Bateman,58,hello.,hello
American Psycho,Bateman,59,"listen, wait. you're not...shhh wait... you're not giving me valid reasons.",listen wait you re not shhh wait you re not giving me valid reasons
American Psycho,Bateman,60,what are you trying to say to me?,what are you trying to say to me
American Psycho,Bateman,61,bleach-ee? are you trying to say bleach-ee?  bleach-ee. oh my god.,bleach ee are you trying to say bleach ee bleach ee oh my god
American Psycho,Bateman,62,two things. one. you can't bleach a soprani. out of the question.  two.   two. i can only get these sheets in santa fe. these are very  expensive sheets and i really need them clean.,two things one you can t bleach a soprani out of the question two two i can only get these sheets in santa fe these are very expensive sheets and i really need them clean
American Psycho,Bateman,63,"if you don't shut your fucking mouth i will kill  you, are you understanding me?",if you don t shut your fucking mouth i will kill you are you understanding me
American Psycho,Bateman,64,"now listen-i have a very important lunch meeting    at hubert's in thirty minutes, and i need those  ...no wait, twenty minutes. i have a lunch meeting at  hubert's in twenty minutes with ronald harrison and i need  those sheets cleaned by this afternoon.",now listen i have a very important lunch meeting at hubert s in thirty minutes and i need those no wait twenty minutes i have a lunch meeting at hubert s in twenty minutes with ronald harrison and i need those sheets cleaned by this afternoon
American Psycho,Bateman,65,this is crazy. you're a fool. i can't cope with  this.,this is crazy you re a fool i can t cope with this
American Psycho,Bateman,66,stupid bitchee! understand? oh christ!,stupid bitchee understand oh christ
American Psycho,Bateman,67,hello,hello
American Psycho,Bateman,68,well.,well
American Psycho,Bateman,69,then why can't they get these stains out? i mean can you talk  to these people or something? i'm not getting anywhere.,then why can t they get these stains out i mean can you talk to these people or something i m not getting anywhere
American Psycho,Bateman,70,"well, i mean, um, it s really...bosco. you  know, like... like a dove bar. it's a dove bar...hershey's syrup?",well i mean um it s really bosco you know like like a dove bar it s a dove bar hershey s syrup
American Psycho,Bateman,71,"listen, if you could talk to them    i would really appreciate it. i'm really late. i have a  lunch appointment at hubert's in fifteen minutes.",listen if you could talk to them i would really appreciate it i m really late i have a lunch appointment at hubert s in fifteen minutes
American Psycho,Bateman,72,"yeah, well, oh boy, listen, i've got to go. thank  you, uh... victoria?",yeah well oh boy listen i ve got to go thank you uh victoria
American Psycho,Bateman,73,"oh, i don't know, victoria. i'm at work all the  time.",oh i don t know victoria i m at work all the time
American Psycho,Bateman,74,next saturday?,next saturday
American Psycho,Bateman,75,"oh, can't, i'm afraid. matinï¿½e of les miserables.  listen, i've really got to go. i'll-oh...christ...i'll call  you.",oh can t i m afraid matinï¿½e of les miserables listen i ve really got to go i ll oh christ i ll call you
American Psycho,Bateman,76,"listen, what are you doing tonight?",listen what are you doing tonight
American Psycho,Bateman,77,"listen, you're dating luis, he's in arizona. you're fucking me,  and we haven't made plans. what could you possibly be up to  tonight?",listen you re dating luis he s in arizona you re fucking me and we haven t made plans what could you possibly be up to tonight
American Psycho,Bateman,78,on a lot of lithium?,on a lot of lithium
American Psycho,Bateman,79,you should come have dinner with me. courtney  but-when?,you should come have dinner with me courtney but when
American Psycho,Bateman,80,am i confused or were we talking about tonight?,am i confused or were we talking about tonight
American Psycho,Bateman,81,pumpkin?,pumpkin
American Psycho,Bateman,82,pumpkin you're dating an asshole.,pumpkin you re dating an asshole
American Psycho,Bateman,83,pumpkin you're dating the biggest dickweed in new  york.,pumpkin you re dating the biggest dickweed in new york
American Psycho,Bateman,84,"pumpkin, you're dating a tumbling, tumbling  dickweed.",pumpkin you re dating a tumbling tumbling dickweed
American Psycho,Bateman,85,courtney? dinner?,courtney dinner
American Psycho,Bateman,86,i'm thinking dorsia.,i m thinking dorsia
American Psycho,Bateman,87,nice?,nice
American Psycho,Bateman,88,"the question is do you like it, courtney? and will  you blow off a fucking phone call from your sad excuse for a  boyfriend to eat there tonight.",the question is do you like it courtney and will you blow off a fucking phone call from your sad excuse for a boyfriend to eat there tonight
American Psycho,Bateman,89,eight?,eight
American Psycho,Bateman,90,"sounds like i'll have to. don't fall asleep, okay? wear  something fabulous. dorsia, remember?",sounds like i ll have to don t fall asleep okay wear something fabulous dorsia remember
American Psycho,Bateman,91,umm...yes...i know it's a little late but is it possible to  reserve a table for two at eight or eight-thirty perhaps?,umm yes i know it s a little late but is it possible to reserve a table for two at eight or eight thirty perhaps
American Psycho,Bateman,92,is that donald trump's car?,is that donald trump s car
American Psycho,Bateman,93,"you know, courtney, you should take some more  lithium. or have a diet coke. some caffeine might get you  out of this slump.",you know courtney you should take some more lithium or have a diet coke some caffeine might get you out of this slump
American Psycho,Bateman,94,j&b. straight.,j b straight
American Psycho,Bateman,95,yes.,yes
American Psycho,Bateman,96,"yes, dear.",yes dear
American Psycho,Bateman,97,"courtney, you're going to have the peanut butter  soup with smoked duck and mashed squash. new york magazine  called it a 'playful but mysterious little dish."" you'll  love it. and then...the red snapper with violets and  pine nuts. i think that'll follow nicely.",courtney you re going to have the peanut butter soup with smoked duck and mashed squash new york magazine called it a playful but mysterious little dish you ll love it and then the red snapper with violets and pine nuts i think that ll follow nicely
American Psycho,Bateman,98,"yes, luis is a despicable twit. i hate him.",yes luis is a despicable twit i hate him
American Psycho,Bateman,99,is it a what?,is it a what
American Psycho,Bateman,100,i'm ignoring you.,i m ignoring you
American Psycho,Bateman,102,it's a plain end. i think.,it s a plain end i think
American Psycho,Bateman,103,oh jesus. i'm going home.,oh jesus i m going home
American Psycho,Bateman,104,"it's a plain end, see? so?",it s a plain end see so
American Psycho,Bateman,105,why?,why
American Psycho,Bateman,106,"oh christ, this really isn't worth it. and see,  courtney, it's there for what? huh? tell us.    why is it pulled down half an inch?  so it can catch the force of the ejaculate!",oh christ this really isn t worth it and see courtney it s there for what huh tell us why is it pulled down half an inch so it can catch the force of the ejaculate
American Psycho,Bateman,107,"see? happy? you dumb bitch? are you happy, you dumb bitch?",see happy you dumb bitch are you happy you dumb bitch
American Psycho,Bateman,108,"lucky, i guess.",lucky i guess
American Psycho,Bateman,109,uh huh.,uh huh
American Psycho,Bateman,110,your compliment was sufficient luis.,your compliment was sufficient luis
American Psycho,Bateman,111,i've been great. and you?,i ve been great and you
American Psycho,Bateman,112,"owen has mistaken me for this dickhead marcus halberstam.  it seems logical because marcus also works at p&p and in  fact does the same exact thing i do and he also has a  penchant for valentino suits and oliver peoples glasses.  marcus and i even go to the same barber, although i have  a slightly better haircut.",owen has mistaken me for this dickhead marcus halberstam it seems logical because marcus also works at p p and in fact does the same exact thing i do and he also has a penchant for valentino suits and oliver peoples glasses marcus and i even go to the same barber although i have a slightly better haircut
American Psycho,Bateman,113,it's...it's...all right.,it s it s all right
American Psycho,Bateman,114,"oh well, you know.",oh well you know
American Psycho,Bateman,115,oh yes. i'm very lucky.,oh yes i m very lucky
American Psycho,Bateman,116,new card. what do you think?,new card what do you think
American Psycho,Bateman,117,picked them up from the printers yesterday,picked them up from the printers yesterday
American Psycho,Bateman,118,that's bone. and the lettering is something called  silian rail.,that s bone and the lettering is something called silian rail
American Psycho,Bateman,119,nice.,nice
American Psycho,Bateman,120,i can't believe that price prefers mcdermott's card to mine.,i can t believe that price prefers mcdermott s card to mine
American Psycho,Bateman,121,impressive. very nice. let's see paul owen's card.,impressive very nice let s see paul owen s card
American Psycho,Bateman,122,"look at that subtle off-white coloring. the tasteful thickness  of it. oh my god, it even has a watermark...",look at that subtle off white coloring the tasteful thickness of it oh my god it even has a watermark
American Psycho,Bateman,123,hello. pat bateman.,hello pat bateman
American Psycho,Bateman,124,you want some money?. some...food?,you want some money some food
American Psycho,Bateman,125,is this what you need?,is this what you need
American Psycho,Bateman,126,"it's cold out, too, isn't it?",it s cold out too isn t it
American Psycho,Bateman,127,"why don't you get a job? if you're so hungry, why don't you  get a job?",why don t you get a job if you re so hungry why don t you get a job
American Psycho,Bateman,128,"why? were you drinking? is that why you lost it?  insider trading? just joking. no, really-were you drinking on  the job?",why were you drinking is that why you lost it insider trading just joking no really were you drinking on the job
American Psycho,Bateman,129,"gee, uh, that's too bad.",gee uh that s too bad
American Psycho,Bateman,130,"why don't you get another one? why don't , you get another job?",why don t you get another one why don t you get another job
American Psycho,Bateman,131,you're not what? qualified for anything else?,you re not what qualified for anything else
American Psycho,Bateman,132,"i know that, i know that. jeez, you're like a broken record.  i'm trying to help you.",i know that i know that jeez you re like a broken record i m trying to help you
American Psycho,Bateman,133,"listen, do you think it's fair to take money from people who  do have jobs? from people who do work?",listen do you think it s fair to take money from people who do have jobs from people who do work
American Psycho,Bateman,134,"listen, what's your name?",listen what s your name
American Psycho,Bateman,135,speak up. come on.,speak up come on
American Psycho,Bateman,136,"get a goddamn job, al. you've got a negative attitude.  that's what's stopping you. you've got to get your act together.  i'll help you.",get a goddamn job al you ve got a negative attitude that s what s stopping you you ve got to get your act together i ll help you
American Psycho,Bateman,137,shhhh...it's okay.,shhhh it s okay
American Psycho,Bateman,138,"do ,you know how bad you smell? the stench, my god.",do you know how bad you smell the stench my god
American Psycho,Bateman,139,you reek. you reek of...shit. do you know that?,you reek you reek of shit do you know that
American Psycho,Bateman,140,it's just that...i don't know i don't have anything in common  with you.,it s just that i don t know i don t have anything in common with you
American Psycho,Bateman,141,"do you know what a fucking loser ,you are?",do you know what a fucking loser you are
American Psycho,Bateman,142,there's a quarter. go buy some gum.,there s a quarter go buy some gum
American Psycho,Bateman,143,"i have all the characteristics of a human being- flesh, blood,  skin, hair-but not a single clear, identifiable emotion except  for greed ,und disgust. something horrible is happening inside  me and i don't know why.",i have all the characteristics of a human being flesh blood skin hair but not a single clear identifiable emotion except for greed und disgust something horrible is happening inside me and i don t know why
American Psycho,Bateman,144,"my nightly bloodlust has overflowed into my days. i feel lethal,  on the verge of frenzy.",my nightly bloodlust has overflowed into my days i feel lethal on the verge of frenzy
American Psycho,Bateman,145,i think my mask of sanity is about to slip.,i think my mask of sanity is about to slip
American Psycho,Bateman,146,marcus halberstam. for two at eight?,marcus halberstam for two at eight
American Psycho,Bateman,147,"j&b, straight. and a dixie beer.",j b straight and a dixie beer
American Psycho,Bateman,148,not if you want to keep your spleen.,not if you want to keep your spleen
American Psycho,Bateman,149,"listen, the mud soup and the charcoal arugula are outrageous  here.",listen the mud soup and the charcoal arugula are outrageous here
American Psycho,Bateman,150,"hey, i'm a child of divorce. give me a break    hmmm, i see they've omitted the pork loin with lime jello.",hey i m a child of divorce give me a break hmmm i see they ve omitted the pork loin with lime jello
American Psycho,Bateman,151,nobody goes there anymore.,nobody goes there anymore
American Psycho,Bateman,152,"is that ivana trump over there?  jeez  patrick i mean marcus, what are you thinking? why would ivana  be at texarkana?",is that ivana trump over there jeez patrick i mean marcus what are you thinking why would ivana be at texarkana
American Psycho,Bateman,153,"so, wasn't rothschild originally handling the  fisher account? how did you get it?",so wasn t rothschild originally handling the fisher account how did you get it
American Psycho,Bateman,154,i like to dissect girls. did you know i'm utterly insane?,i like to dissect girls did you know i m utterly insane
American Psycho,Bateman,155,"cecelia is, well...you know   paul, give me your amex card. good boy. bateman slaps the card down, looks at the check.",cecelia is well you know paul give me your amex card good boy bateman slaps the card down looks at the check
American Psycho,Bateman,156,"two-hundred-and-fifty. very reasonable. let's leave  a big tip, shall we? my place hr a nightcap?",two hundred and fifty very reasonable let s leave a big tip shall we my place hr a nightcap
American Psycho,Bateman,157,"come on, you dumb son of a bitch.    i've got a preview of the barneys catalogue and a  bottle of absolut waiting for us.",come on you dumb son of a bitch i ve got a preview of the barneys catalogue and a bottle of absolut waiting for us
American Psycho,Bateman,158,you like huey lewis and the news?,you like huey lewis and the news
American Psycho,Bateman,159,"the whole album has a clear, crisp sound and a new sheen of  consummate professionalism that gives the songs a big boost. bateman comes back out and leans the ax against the wall.  he walks to the foyer and puts on a raincoat, watching owen  from behind ail the time.",the whole album has a clear crisp sound and a new sheen of consummate professionalism that gives the songs a big boost bateman comes back out and leans the ax against the wall he walks to the foyer and puts on a raincoat watching owen from behind ail the time
American Psycho,Bateman,160,"he's been compared to elvis costello but i think  huey has a more bitter, cynical sense of humor.",he s been compared to elvis costello but i think huey has a more bitter cynical sense of humor
American Psycho,Bateman,161,"yes, owen?",yes owen
American Psycho,Bateman,162,"no, owen.",no owen
American Psycho,Bateman,163,"yes, it is.",yes it is
American Psycho,Bateman,164,"in 1987 huey released this, fore!, their most  accomplished album. i think i heir undisputed masterpiece is  ""hip to be square,"" a song so catchy that most people probably  don't listen to the lyrics. but they should because it's not  just about the pleasures of conformity and the importance of  trends. it's al~ a personal statement about the band itself.",in 1987 huey released this fore their most accomplished album i think i heir undisputed masterpiece is hip to be square a song so catchy that most people probably don t listen to the lyrics but they should because it s not just about the pleasures of conformity and the importance of trends it s al a personal statement about the band itself
American Psycho,Bateman,165,crosses the room and picks up the ax.,crosses the room and picks up the ax
American Psycho,Bateman,166,"hey, paul?",hey paul
American Psycho,Bateman,167,"try getting a reservation at dorsia now, you fucking  stupid bastard!",try getting a reservation at dorsia now you fucking stupid bastard
American Psycho,Bateman,168,fucking bastard...,fucking bastard
American Psycho,Bateman,169,"drags a large, blood-soaked sleeping bag through the lobby,  past the bored doorman, who looks up from the post for a moment.",drags a large blood soaked sleeping bag through the lobby past the bored doorman who looks up from the post for a moment
American Psycho,Bateman,170,is trying to hail a cab. owen's body is at his  feet. luis carruthers and a japanese girl walk up to him.,is trying to hail a cab owen s body is at his feet luis carruthers and a japanese girl walk up to him
American Psycho,Bateman,171,"no, luis. it's not me. you're mistaken.",no luis it s not me you re mistaken
American Psycho,Bateman,172,commes des garcon.,commes des garcon
American Psycho,Bateman,173,"jesus lives, luis.",jesus lives luis
American Psycho,Bateman,174,where to send the bastard? dallas? pans?,where to send the bastard dallas pans
American Psycho,Bateman,175,singapore? london. i'll send the asshole to london.,singapore london i ll send the asshole to london
American Psycho,Bateman,176,"hi, this is paul. i've been called away to london  for a few days. meredith, i'll call you when i get back.  hasta la vista, baby.",hi this is paul i ve been called away to london for a few days meredith i ll call you when i get back hasta la vista baby
American Psycho,Bateman,177,what is it?,what is it
American Psycho,Bateman,178,"ye-es, je-an?",ye es je an
American Psycho,Bateman,179,who?,who
American Psycho,Bateman,180,tell him i'm at lunch.,tell him i m at lunch
American Psycho,Bateman,181,"send him in, i guess. as she exits, he picks up the cordless  phone and pretends to talk to someone at the other end.",send him in i guess as she exits he picks up the cordless phone and pretends to talk to someone at the other end
American Psycho,Bateman,182,"now, john, you've got to wear clothes in proportion  to your physique. there are definite do's and don'ts, good  buddy, of wearing a bold-striped shirt. a hold-striped shirt  calls for solid-colored or discreetly patterned suits and ties...",now john you ve got to wear clothes in proportion to your physique there are definite do s and don ts good buddy of wearing a bold striped shirt a hold striped shirt calls for solid colored or discreetly patterned suits and ties
American Psycho,Bateman,183,right. and yes...always tip the stylist fifteen percent.,right and yes always tip the stylist fifteen percent
American Psycho,Bateman,184,"listen, john, i've got to go. t boone pickens just  walked in...   just joking...   no don't tip the owner of the salon. okay, john,  right, got it.    sorry about that.",listen john i ve got to go t boone pickens just walked in just joking no don t tip the owner of the salon okay john right got it sorry about that
American Psycho,Bateman,185,oh that? just mulling over business problems.  examining opportunities...exchanging rumors... spreading gossip.,oh that just mulling over business problems examining opportunities exchanging rumors spreading gossip
American Psycho,Bateman,186,hi. pat bateman. nice to meet you.,hi pat bateman nice to meet you
American Psycho,Bateman,187,"so, what's the topic of discussion?",so what s the topic of discussion
American Psycho,Bateman,188,"you're not with the fbi or anything, are you?",you re not with the fbi or anything are you
American Psycho,Bateman,189,"ah, i see...yes. paul's disappearance...yes.",ah i see yes paul s disappearance yes
American Psycho,Bateman,190,coffee?,coffee
American Psycho,Bateman,191,perrier? san pellegrino?,perrier san pellegrino
American Psycho,Bateman,192,can you bring mr...,can you bring mr
American Psycho,Bateman,193,mr. kimball a bottle of san pelle-,mr kimball a bottle of san pelle
American Psycho,Bateman,194,it's no problem,it s no problem
American Psycho,Bateman,195,"well, what's the topic of discussion?",well what s the topic of discussion
American Psycho,Bateman,196,"oh right. well, i haven't heard anything about the  disappearance or anything...   not on ""page six"" at least.",oh right well i haven t heard anything about the disappearance or anything not on page six at least
American Psycho,Bateman,197,understandable.    lime?,understandable lime
American Psycho,Bateman,198,you sure? i can always get you a lime.,you sure i can always get you a lime
American Psycho,Bateman,199,shoot.,shoot
American Psycho,Bateman,200,twenty-six. i'll be twenty-seven in october.,twenty six i ll be twenty seven in october
American Psycho,Bateman,201,harvard. the harvard business school.,harvard the harvard business school
American Psycho,Bateman,202,fifty-five west eighty-first street. the american gardens building.,fifty five west eighty first street the american gardens building
American Psycho,Bateman,203,thanks.,thanks
American Psycho,Bateman,204,who do you ask?,who do you ask
American Psycho,Bateman,205,nuprin?,nuprin
American Psycho,Bateman,206,bad habit.,bad habit
American Psycho,Bateman,207,"no, i guess it's okay.",no i guess it s okay
American Psycho,Bateman,208,no problem.,no problem
American Psycho,Bateman,209,"bring us an ashtray for mr. kimball, please. she whisks in with a crystal ashtray as they sit in silence.",bring us an ashtray for mr kimball please she whisks in with a crystal ashtray as they sit in silence
American Psycho,Bateman,210,well...,well
American Psycho,Bateman,211,"i'm...at a loss. he was part of that whole...yale thing,  you know.",i m at a loss he was part of that whole yale thing you know
American Psycho,Bateman,212,yeah...yale thing.,yeah yale thing
American Psycho,Bateman,213,"well, i think for one that he was probably a closet  homosexual. who did a lot of cocaine...that yale thing.",well i think for one that he was probably a closet homosexual who did a lot of cocaine that yale thing
American Psycho,Bateman,214,he led what i suppose was an orderly life. he... ate a balanced diet.,he led what i suppose was an orderly life he ate a balanced diet
American Psycho,Bateman,215,i hope i'm not being cross-examined here.,i hope i m not being cross examined here
American Psycho,Bateman,216,no. not really.,no not really
American Psycho,Bateman,217,hang...out?,hang out
American Psycho,Bateman,218,let me think. the newport. harry's. fluties. endochine. nell's. comell club. the new york yacht club. the regular  places.,let me think the newport harry s fluties endochine nell s comell club the new york yacht club the regular places
American Psycho,Bateman,219,"no, he just hung out there.",no he just hung out there
American Psycho,Bateman,220,don't you know this?,don t you know this
American Psycho,Bateman,221,we were both seven in 1969.,we were both seven in 1969
American Psycho,Bateman,222,do you have any witnesses or fingerprints?,do you have any witnesses or fingerprints
American Psycho,Bateman,223,"well, maybe he did, huh?",well maybe he did huh
American Psycho,Bateman,224,but...has anyone seen him in london?,but has anyone seen him in london
American Psycho,Bateman,225,hmmm.,hmmm
American Psycho,Bateman,226,oh.,oh
American Psycho,Bateman,227,what?,what
American Psycho,Bateman,228,yikes! no. paul wasn't into that. he followed a balanced  diet and-,yikes no paul wasn t into that he followed a balanced diet and
American Psycho,Bateman,229,have you consulted a psychic?,have you consulted a psychic
American Psycho,Bateman,230,had his apartment been burglarized?,had his apartment been burglarized
American Psycho,Bateman,231,"i mean no one's dealing with the homicide squad yet  or anything, right?",i mean no one s dealing with the homicide squad yet or anything right
American Psycho,Bateman,232,"that's so typical, isn't it?",that s so typical isn t it
American Psycho,Bateman,233,nothing.,nothing
American Psycho,Bateman,234,the earth just opens up and swallows people.,the earth just opens up and swallows people
American Psycho,Bateman,235,you'll have to excuse me. i have a lunch meeting  with cliff huxtable at four seasons in twenty minutes.,you ll have to excuse me i have a lunch meeting with cliff huxtable at four seasons in twenty minutes
